,Target,Available Business Disclosures,Disclosure,Sources,x,Source
1632,,ii.   Total number of non-monetary sanctions;,,,,
1633,,iii.   Cases brought through dispute resolution mechanisms.,,,,
1634,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning the,416-2,GRI 416: Customer Health,,
1635,,"health and safety impacts of products and services within the reporting period, by:",,and Safety 2016,,
1636,,i.   incidents of non-compliance with regulations resulting in a fine or penalty;,,,,
1637,,ii.   incidents of non-compliance with regulations resulting in a warning;,,,,
1638,,iii.  incidents of non-compliance with voluntary codes.,,,,
1639,,"b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a",,,,
1640,,brief statement of this fact is sufficient.,,,,
1641,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning,417-2,GRI 417: Marketing and,,
1642,,"product and service information and labeling, by:",,Labeling 2016,,
1643,,i.  incidents of non-compliance with regulations resulting in a fine or penalty;,,,,
1644,,ii.   incidents of non-compliance with regulations resulting in a warning;,,,,
1645,,iii.   incidents of non-compliance with voluntary codes.,,,,
1646,,"b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a",,,,
1647,,brief statement of this fact is sufficient.,,,,
1648,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning,417-3,GRI 417: Marketing and,,
1649,,"marketing communications, including advertising, promotion, and sponsorship, by:",,Labeling 2016,,
1650,,i.  incidents of non-compliance with regulations resulting in a fine or penalty;,,,,
1651,,ii.  incidents of non-compliance with regulations resulting in a warning;,,,,
1652,,iii.  incidents of non-compliance with voluntary codes.,,,,
1653,,"b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a",,,,
1654,,brief statement of this fact is sufficient.,,,,
1655,16.3,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,",418-1,GRI 418: Customer,,
1656,,categorized by:,,Privacy 2016,,
1657,,i.  complaints received from outside parties and substantiated by the organization;,,,,
1658,,ii.   complaints from regulatory bodies.,,,,
1659,,"b.   Total number of identified leaks, thefts, or losses of customer data.",,,,
1660,,"c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is",,,,
1661,,sufficient.,,,,
1662,16.3,Significant fines and non-monetary sanctions for non-compliance with laws and/or regulations in the,419-1-a,GRI 419: Socioeconomic,,
1663,,social and economic area in terms of:,,Compliance 2016,,
1664,,i.   Total monetary value of significant fines;,,,,
1665,,ii.  Total number of non-monetary sanctions;,,,,
1666,,iii.   Cases brought through dispute resolution mechanism,,,,
1667,16.5,a.   Total number and percentage of operations assessed for risks related to corruption.,205-1,GRI 205: Anti-corruption,,
1668,,b.   Significant risks related to corruption identified through the risk assessment.,,2016,,
1669,16.5,a.   Total number and percentage of governance body members that the organization’s anti-corruption,205-2,GRI 205: Anti-corruption,,
1670,,"policies and procedures have been communicated to, broken down by region.",,2016,,
1671,,b.   Total number and percentage of employees that the organization’s anti-corruption policies and,,,,
1672,,"procedures have been communicated to, broken down by employee category and region.",,,,
1673,,c.   Total number and percentage of business partners that the organization’s anti-corruption policies,,,,
1674,,"and procedures have been communicated to, broken down by type of business partner and region.",,,,
1675,,Describe if the organization’s anti-corruption policies and procedures have been communicated to,,,,
1676,,any other persons or organizations.,,,,
1677,,d.   Total number and percentage of governance body members that have received training on anti-,,,,
1678,,"corruption, broken down by region.",,,,
1679,,"e.   Total number and percentage of employees that have received training on anti-corruption, broken",,,,
1680,,down by employee category and region.,,,,
1681,16.5,a.   Total number and nature of confirmed incidents of corruption. b. Total number of confirmed incidents,205-3,GRI 205: Anti-corruption,,
1682,,in which employees were dismissed or disciplined for corruption. c. Total number of confirmed,,2016,,
1683,,incidents when contracts with business partners were terminated or not renewed due to violations,,,,
1684,,related to corruption.,,,,
1685,,d.   Public legal cases regarding corruption brought against the organization or its employees during the,,,,
1686,,reporting period and the outcomes of such cases.,,,,
1687,16.5,Total monetary value of financial and in-kind political contributions made directly and indirectly by the,415-1-a,GRI 415: Public Policy,,
1688,,organization by country and recipient/beneficiary.,,2016,,
1689,16.6,a.   Whether the chair of the highest governance body is also an executive officer in the organization.,102-23,GRI 102: General,,
1690,,"b.   If the chair is also an executive officer, describe his or her function within the organization’s",,Disclosures 2016,,
1691,,management and the reasons for this arrangement.,,,,
1692,16.6,a.   Processes for the highest governance body to ensure conflicts of interest are avoided and managed.,102-25,GRI 102: General,,
1693,,"b.   Whether conflicts of interest are disclosed to stakeholders, including, as a minimum:",,Disclosures 2016,,
1694,,i.  Cross-board membership;,,,,
1695,,ii.   Cross-shareholding with suppliers and other stakeholders;,,,,
1696,,iii.   Existence of controlling shareholder;,,,,
1697,,iv.  Related party disclosures.,,,,
1698,16.7,"a.   Processes for consultation between stakeholders and the highest governance body on economic,",102-21,GRI 102: General,,
1699,,"environmental, and social topics.",,Disclosures 2016,,
1700,,"b.   If consultation is delegated, describe to whom it is delegated and how the resulting feedback is",,,,
1701,,provided to the highest governance body.,,,,
1702,16.7,Composition of the highest governance body and its committees by:,102-22-a,GRI 102: General,,
1703,,i.  Executive or non-executive;,,Disclosures 2016,,
1704,,ii.   Independence;,,,,
1705,,iii.   Tenure on the governance body;,,,,
1706,,"iv.  Number of each individual’s other significant positions and commitments, and the nature of the",,,,
1707,,commitments;,,,,
1708,,v.   Gender;,,,,
1709,,vi.   Membership of under-represented social groups;,,,,
1710,,"vii.  Competencies relating to economic, environmental, and social topics;",,,,
1711,,viii.  Stakeholder representation.,,,,
1712,16.7,a.   Nomination and selection processes for the highest governance body and its committees.,102-24,GRI 102: General,,
1713,,"b.   Criteria used for nominating and selecting highest governance body members, including whether",,Disclosures 2016,,
1714,,and how:,,,,
1715,,i.   stakeholders (including shareholders) are involved;,,,,
1716,,ii.  diversity is considered;,,,,
1717,,iii.  independence is considered;,,,,
1718,,"iv.  expertise and experience relating to economic, environmental, and social topics are considered.",,,,
1719,16.7,"a.   Highest governance body’s role in identifying and managing economic, environmental, and social",102-29,GRI 102: General,,
1720,,"topics and their impacts, risks, and opportunities – including its role in the implementation of due",,Disclosures 2016,,
1721,,diligence processes.,,,,
1722,,b.   Whether stakeholder consultation is used to support the highest governance body’s identification,,,,
1723,,"and management of economic, environmental, and social topics and their impacts, risks, and",,,,
1724,,opportunities.,,,,
1725,16.7,a.   How stakeholders’ views are sought and taken into account regarding remuneration.,102-37,GRI 102: General,,
1726,,"b.   If applicable, the results of votes on remuneration policies and proposals.",,Disclosures 2016,,
1727,16.7,"A description of the processes for worker participation and consultation in the development,",403-4-a,GRI 403: Occupational,,
1728,,"implementation, and evaluation of the occupational health and safety management system, and for",,Health and Safety 2018,,
1729,,providing access to and communicating relevant information on occupational health and safety to,,,,
1730,,workers.,,,,
1731,16.7,"Where formal joint management–worker health and safety committees exist, a description of their",403-4-b,GRI 403: Occupational,,
1732,,"responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers",,Health and Safety 2018,,
1733,,are not represented by these committees.,,,,
1734,16.1,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,",418-1,GRI 418: Customer,,
1735,,categorized by:,,Privacy 2016,,
1736,,i.  complaints received from outside parties and substantiated by the organization;,,,,
1737,,ii.   complaints from regulatory bodies.,,,,
1738,,"b.   Total number of identified leaks, thefts, or losses of customer data.",,,,
1739,,"c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is",,,,
1740,,sufficient.,,,,
1741,17.1,"a.   A description of the approach to tax, including:",207-1,GRI 207: Tax 2019,,
1742,,"i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;",,,,
1743,,ii.  the governance body or executive-level position within the organization that formally reviews,,,,
1744,,"and approves the tax strategy, and the frequency of this review;",,,,
1745,,iii.  the approach to regulatory compliance;,,,,
1746,,iv.   how the approach to tax is linked to the business and sustainable development strategies of the,,,,
1747,,organization.,,,,
1748,17.1,"a.  A description of the tax governance and control framework, including:",207-2,GRI 207: Tax 2019,,
1749,,i.   the governance body or executive-level position within the organization accountable for,,,,
1750,,compliance with the tax strategy;,,,,
1751,,ii.   how the approach to tax is embedded within the organization;,,,,
1752,,"iii.  the approach to tax risks, including how risks are identified, managed, and monitored;",,,,
1753,,iv.   how compliance with the tax governance and control framework is evaluated.,,,,
1754,,b.  A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the,,,,
1755,,organization’s integrity in relation to tax.,,,,
1756,,"c.  A description of the assurance process for disclosures on tax and, if applicable, a reference to the",,,,
1757,,"assurance report, statement, or opinion.",,,,
1758,17.1,a.  A description of the approach to stakeholder engagement and management of stakeholder concerns,207-3,GRI 207: Tax 2019,,
1759,,"related to tax, including:",,,,
1760,,i.  the approach to engagement with tax authorities;,,,,
1761,,ii.   the approach to public policy advocacy on tax;,,,,
1762,,"iii.   the processes for collecting and considering the views and concerns of stakeholders, including",,,,
1763,,external stakeholders.,,,,
1764,17.1,a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial,207-4,GRI 207: Tax 2019,,
1765,,"statements, or in the financial information filed on public record, are resident for tax purposes.",,,,
1766,,b.   For each tax jurisdiction reported in Disclosure 207-4-a:,,,,
1767,,i.  Names of the resident entities;,,,,
1768,,ii.  Primary activities of the organization;,,,,
1769,,"iii.  Number of employees, and the basis of calculation of this number;",,,,
1770,,iv.   Revenues from third-party sales;,,,,
1771,,v.  Revenues from intra-group transactions with other tax jurisdictions;,,,,
1772,,vi.   Profit/loss before tax;,,,,
